trait,access,author,category,consortium,id,mr,ncase,ncontrol,note,nsnp,pmid,population,priority,sample_size,sd,unit,sex,subcategory,year,EFO,EFO_id,match
Urinary albumin-to-creatinine ratio,public,Boger CA,Risk factor,CKDGen,21,0,NA,NA,Only P-values available,2777643,21355061,European,4,31077,0.96,log mg/g,Males and females,Kidney,2011,,,
Alzheimer's disease,public,Lambert,Disease,IGAP,298,1,25580,48466,Exposure only; Effect allele frequencies are missing; forward(+) strand,11633,24162737,European,1,74046,NA,log odds,Males and females,Psychiatric / neurological,2014,,,
Alzheimer's disease,public,Li H,Disease,NA,824,1,753,736,Effect allele frequencies are missing,402973,17998437,European,3,1489,NA,log odds,Males and females,Psychiatric / neurological,2014,,,
Amygdala volume,public,Hibar,Risk factor,ENIGMA,1043,1,NA,NA,adjusted for intracranial volume,7252270,25607358,European,1,30717,NA,mm3,Males and females,Psychiatric / neurological,2012,amygdala volume,EFO:0006934,high
Amyotrophic lateral sclerosis,developer,Fogh I,Disease,ALSgene,33,1,6100,7125,NA,7389016,24256812,European,1,13225,NA,log odds,Males and females,Psychiatric / neurological,2015,,,
Amyotrophic lateral sclerosis,public,van Rheenen,Disease,Project MinE,1085,1,12577,23475,Results from linear mixed model,7740345,27455348,European,1,36052,NA,log odds,Males and females,Psychiatric / neurological,2012,,,
Amyotrophic lateral sclerosis,public,van Rheenen,Disease,Project MinE,1086,1,12577,23475,Results from fixed effects meta-analysis,8709432,27455348,European,1,36052,NA,log odds,Males and females,Psychiatric / neurological,2013,amyotrophic lateral sclerosis,EFO:0000253,high
Anorexia nervosa,public,Boraska V,Disease,GCAN,45,1,2907,14860,Effect allele frequecies are missing,1149254,24514567,European,1,17767,NA,log odds,Males and females,Psychiatric / neurological,2012,anorexia nervosa,EFO:0004215,high
Asthma,public,Moffatt MF,Disease,GABRIEL,44,1,10365,16110,NA,546183,20860503,European,1,26475,NA,log odds,Males and females,Autoimmune / inflammatory,2015,asthma,EFO:0000270,high
AUCins,public,Prokopenko,Risk factor,MAGIC,760,1,NA,NA,Insulin secretion; Area under the curve of insulin levels during oral glucose tolerance test,2433997,24699409,European,3,4324,NA,SD (mU*min/l),Males and females,Glycemic,2015,,,
AUCins/AUCglu,public,Prokopenko,Risk factor,MAGIC,759,1,NA,NA,Insulin secretion; ratio of the area under the curve for insulin and glucose levels,2434142,24699409,European,2,4213,NA,SD,Males and females,Glycemic,2015,,,
Autism,public,Smoller JW,Disease,PGC,802,1,14525,14890,NA,1245865,23453885,European,2,29415,NA,log odds,Males and females,Psychiatric / neurological,2015,autism,EFO:0003758,high
Autism,public,NA,Disease,PGC,806,1,4949,5314,NA,9499590,NA,European,1,10263,NA,log odds,Males and females,Psychiatric / neurological,2014,,,
Bipolar disorder,public,Sklar P,Disease,PGC,800,1,7481,9250,Clump; effect allele frequencies are missing,108835,21926972,European,2,16731,NA,log odds,Males and females,Psychiatric / neurological,2007,,,
Bipolar disorder,public,Sklar P,Disease,PGC,801,1,7481,9250,Full,2427221,21926972,European,1,16731,NA,log odds,Males and females,Psychiatric / neurological,2014,bipolar disorder,EFO:0000289,high
Femoral neck bone mineral density,public,Estrada K,Risk factor,GEFOS,46,0,NA,NA,Standard errors are missing,2478339,22504420,Mixed,1,32961,0.35,SD (g/cm2),Males and females,Bone,2012,,,
Lumbar spine bone mineral density,public,Estrada K,Risk factor,GEFOS,47,0,NA,NA,Standard errors are missing,2468081,22504420,Mixed,1,32961,0.51,SD (g/cm2),Males and females,Bone,2012,,,
Bipolar disorder,public,Smith EN,Disease,NA,808,1,1346,1703,Effect allele frequencies are missing,699461,19488044,Mixed,3,3049,NA,log odds,Males and females,Psychiatric / neurological,2015,,,
Birth length,public,van der Valk RJ,Risk factor,EGG,29,1,NA,NA,Effect allele frequencies are missing,2201972,25281659,European,1,28459,1.96,SD (cm),Males and females,Anthropometric,2015,body height at birth,EFO:0006784,high
Birth weight,public,Horikoshi M,Risk factor,EGG,27,1,NA,NA,Effect allele frequencies are missing,2684394,23202124,European,1,26836,547.5342207,g,Males and females,Anthropometric,2015,,,
Birth weight,public,Horikoshi,Risk factor,NA,1083,1,NA,NA,BW Z-score transformed,16245524,27680694,European,1,143677,NA,SD,Males and females,Anthropometric,2015,,,
Birth weight,public,Horikoshi,Risk factor,NA,1084,1,NA,NA,BW Z-score transformed,22434434,27680694,Mixed,1,153781,NA,SD,Males and females,Anthropometric,2015,birth weight,EFO:0004344,high
Body fat,public,Lu,Risk factor,NA,999,1,NA,NA,89% European,3228665,26833246,European,1,100716,NA,SD,Males and females,Anthropometric,2015,body fat percentage,EFO:0007800,medium - check that it is percentage
Body mass index,public,Locke AE,Risk factor,GIANT,2,1,NA,NA,NA,2555511,25673413,Mixed,1,339224,4.77,SD (kg/m^2),Males and females,Anthropometric,2015,body mass index,EFO:0004340,high
Body mass index,public,Randall JC,Risk factor,GIANT,94,1,NA,NA,NA,2736876,23754948,European,5,60586,4.77,SD (kg/m^2),Males,Anthropometric,2015,,,
Body mass index,public,Randall JC,Risk factor,GIANT,95,1,NA,NA,NA,2736876,23754948,European,6,73137,4.77,SD (kg/m^2),Females,Anthropometric,2015,,,
Body mass index,public,Locke AE,Risk factor,GIANT,785,1,NA,NA,NA,2477659,25673413,European,2,152893,4.77,SD (kg/m^2),Males,Anthropometric,2015,,,
Body mass index,public,Locke AE,Risk factor,GIANT,835,1,NA,NA,NA,2554668,25673413,European,3,322154,4.77,SD (kg/m^2),Males and females,Anthropometric,2015,,,
Body mass index,public,Locke AE,Risk factor,GIANT,974,1,NA,NA,NA,2494613,25673413,European,4,171977,4.77,SD (kg/m^2),Females,Anthropometric,2015,,,
Bulimia nervosa,public,Wade TD,Disease,NA,990,1,151,2291,NA,11846513,23568457,European,1,2442,NA,log odds,Females,Psychiatric / neurological,2015,bulimia nervosa,EFO:0005204,high
C-reactive protein,public,Okada Y,Risk factor,BioBank Japan Project,1015,1,NA,NA,NA,2178019,21196492,Japanese,1,10112,NA,SD,Males and females,Immune system,2015,C-reactive protein measurement,EFO:0004458,
Caudate volume,public,Hibar,Risk factor,ENIGMA,1044,1,NA,NA,adjusted for intracranial volume,7277001,25607358,European,1,30717,NA,mm3,Males and females,Psychiatric / neurological,2015,caudate nucleus volume,EFO:0004830,medium - is caudate volume same as caudate nucleus?
Celiac disease,public,Dubois PC,Disease,NA,276,1,4533,10750,Effect allele frequencies are missing,523399,20190752,European,1,15283,NA,log odds,Males and females,Autoimmune / inflammatory,2015,celiac disease,EFO:0001060,high
Celiac disease,immunobase_users,Trynka,Disease,NA,278,1,12041,12228,Immuno-chip; effect allele frequencies are missing,98524,22057235,European,1,24269,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Celiac disease,public,Trynka,Disease,NA,1058,1,12041,12228,Immuno-chip; effect allele frequencies are missing,38037,22057235,European,1,24269,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Celiac disease,public,Dubois,Disease,NA,1059,1,4533,10750,Effect allele frequencies are missing,292388,20190752,European,1,15283,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Celiac disease,public,Dubois,Disease,NA,1060,1,3796,8154,Effect allele frequencies are missing,231359,20190752,European,1,11950,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Childhood intelligence,public,Benyamin B,Risk factor,SSGAC,16,1,NA,NA,NA,1380159,23358156,European,1,12441,NA,SD,Males and females,Education,2015,intelligence,EFO:0004337,medium
Childhood obesity,public,Bradfield JP,Risk factor,EGG,1096,1,5530,8318,Effect allele frequencies are missing,2442739,22484627,European,1,13848,NA,log odds,Males and females,Anthropometric,2015,obesity,EFO:0001073,medium
Chronic kidney disease,public,Pattaro,Disease,CKDGen,991,1,12385,104780,NA,2191877,26831199,Mixed,1,117165,NA,log odds,Males and females,Kidney,2015,chronic kidney disease,EFO:0003884,high
Chronic kidney disease,public,Pattaro,Disease,CKDGen,1102,1,12385,104780,NA,2191877,26831199,Mixed,1,117165,NA,log odds,Males and females,Kidney,2015,,,
Chronotype,public,Jones,Risk factor,UK Biobank,1087,1,NA,NA,Results from interim Biobank release enriched for smokers; could lead to bias through collider issues in MR,17032431,27494321,European,1,128266,NA,SD,Males and females,Sleeping,2015,sleep time,EFO:0005274,medium - described as time when sleep begins
Cigarettes smoked per day,public,Furberg,Risk factor,TAG,961,1,NA,NA,NA,2459119,20418890,European,1,68028,11.69784541,Cigarettes per day,Males and females,Behavioural,2015,cigarettes per day measurement,EFO:0006525,high
College completion,public,Rietveld CA,Risk factor,SSGAC,836,1,20044,75383,NA,2321511,23722424,European,1,95427,NA,log odds,Males and females,Education,2015,behavior,GO:0007610,low
Copper,public,Evans,Risk factor,NA,1073,1,NA,NA,Effect allele frequencies are missing,2543646,23720494,European,1,2603,NA,SD,Males and females,Metal,2015,blood copper measurement,EFO:0007578,high
Copper,public,Evans,Risk factor,NA,1074,1,NA,NA,Effect allele frequencies are missing,13771,23720494,European,1,2603,NA,SD,Males and females,Metal,2015,,,
Coronary heart disease,public,Peden,Disease,C4D,6,1,15420,15062,NA,540233,21378988,Mixed,3,30482,NA,log odds,Males and females,Cardiovascular,2015,,,
Coronary heart disease,public,Nikpay,Disease,CARDIoGRAMplusC4D,7,1,60801,123504,NA,9455779,26343387,Mixed,1,184305,NA,log odds,Males and females,Cardiovascular,2015,coronary heart disease,EFO:0001645,high
Coronary heart disease,public,Schunkert H,Disease,CARDIoGRAM,8,1,22233,64762,NA,2420361,21378990,European,2,86995,NA,log odds,Males and females,Cardiovascular,2015,,,
Coronary heart disease,public,Deloukas,Disease,CARDIoGRAMplusC4D,9,1,63746,130681,NA,79129,23202125,Mixed,1,194427,NA,log odds,Males and females,Cardiovascular,2015,,,
Corrected insulin response,public,Prokopenko,Risk factor,MAGIC,761,1,NA,NA,Insulin secretion,2425234,24699409,European,1,5318,NA,SD,Males and females,Glycemic,2015,acute insulin response measurement,EFO:0006831,medium - not sure if acute is correct
Corrected insulin response,public,Prokopenko,Risk factor,MAGIC,762,1,NA,NA,Insulin secretion; adjusted for insulin sensitivty index,2424904,24699409,European,4,4789,NA,SD,Males and females,Glycemic,2015,,,
Crohn's disease,public,Jostins L,Disease,IIBDGC,10,1,14763,15977,NA,13898,23128233,European,1,30740,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Body mass index,public,Speliotes EK,Risk factor,GIANT,84,0,NA,NA,Only P-values are available,2471517,20935630,European,8,123865,4.77,SD (kg/m^2),Males and females,Anthropometric,2010,,,
Crohn's disease,public,Liu,Disease,IIBDGC,11,1,1690,3719,NA,154590,26192919,East Asian,1,5409,NA,log odds,Males and females,Autoimmune / inflammatory,2013,,,
Crohn's disease,public,Liu,Disease,IIBDGC,12,1,17897,33977,NA,124888,26192919,European,1,51874,NA,log odds,Males and females,Autoimmune / inflammatory,2013,,,
Crohn's disease,public,Liu,Disease,IIBDGC,13,1,184,990,NA,154590,26192919,Indian,1,1174,NA,log odds,Males and females,Autoimmune / inflammatory,2013,,,
Height,public,Lango Allen H,Risk factor,GIANT,88,0,NA,NA,Only P-values are available,2469636,20881960,European,5,183727,0.0699,SD (m),Males and females,Anthropometric,2010,,,
Crohn's disease,public,Liu,Disease,IIBDGC,14,1,151,342,NA,154590,26192919,Iranian,1,493,NA,log odds,Males and females,Autoimmune / inflammatory,2014,,,
Crohn's disease,public,Liu,Disease,IIBDGC,30,1,5956,14927,NA,12276506,26192919,European,1,20883,NA,log odds,Males and females,Autoimmune / inflammatory,2013,Crohn's disease,EFO:0000384,high
Depressive symptoms,public,Okbay,Risk factor,SSGAC,1000,1,NA,NA,NA,6524475,27089181,European,1,161460,NA,SD,Males and females,Psychiatric / neurological,2013,depressive symptom measurement,EFO:0007006,high
Difference in height between adolescence and adulthood,public,Cousminer,Risk factor,EGG,1038,1,NA,NA,Adolescence at age 14; effect allele frequencies are missing,2400928,23449627,European,1,4946,NA,SD,Females,Anthropometric,2013,,,
Difference in height between adolescence and adulthood,public,Cousminer,Risk factor,EGG,1039,1,NA,NA,Adolescence at age 14; effect allele frequencies are missing,2401290,23449627,European,1,4282,NA,SD,Males,Anthropometric,2013,,,
Difference in height between adolescence and adulthood,public,Cousminer,Risk factor,EGG,1040,1,NA,NA,Adolescence at age 14; effect allele frequencies are missing,2401290,23449627,European,1,9228,NA,SD,Males and females,Anthropometric,2013,height growth measurement,EFO:0005201,medium
Difference in height between childhood and adulthood,public,Cousminer,Risk factor,EGG,1035,1,NA,NA,Childhood at age 8; effect allele frequencies are missing,2390840,23449627,European,1,5756,NA,SD,Females,Anthropometric,2013,,,
Difference in height between childhood and adulthood,public,Cousminer,Risk factor,EGG,1036,1,NA,NA,Childhood at age 8; effect allele frequencies are missing,2391721,23449627,European,1,5043,NA,SD,Males,Anthropometric,2013,,,
Difference in height between childhood and adulthood,public,Cousminer,Risk factor,EGG,1037,1,NA,NA,Childhood at age 8; effect allele frequencies are missing,2384832,23449627,European,1,10799,NA,SD,Males and females,Anthropometric,2013,height growth measurement,EFO:0005201,medium
Digit symbol,public,Luciano,Risk factor,NA,1067,1,NA,NA,Metric of information processing speed,2402676,21130836,European,1,2956,11.86,SD (number correct in 90/120 seconds),Males and females,Psychiatric / neurological,2013,mental process,EFO:0004323,low
Eczema,public,Paternoster,Disease,EAGLE,996,1,10788,30047,23andME excluded,11059641,26482879,European,1,40835,NA,log odds,Males and females,Autoimmune / inflammatory,2013,Eczema,HP:0000964,high
Ever vs never smoked,public,Furberg,Risk factor,TAG,962,1,41969,32066,NA,2455847,20418890,European,1,74035,NA,log odds,Males and females,Behavioural,2013,smoking initiation,EFO:0005670,high
Extreme body mass index,public,Berndt SI,Risk factor,GIANT,85,1,7962,8106,NA,1984814,23563607,European,1,16068,NA,log odds,Males and females,Anthropometric,2013,body mass index,EFO:0004340,medium - not extreme
Extreme height,public,Berndt SI,Risk factor,GIANT,86,1,8097,8099,NA,1966557,23563607,European,1,16196,NA,log odds,Males and females,Anthropometric,2013,body height,EFO:0004339,medium - not extreme
Extreme waist-to-hip ratio,public,Berndt SI,Risk factor,GIANT,87,1,4774,5481,NA,1939901,23563607,European,1,10255,NA,log odds,Males and females,Anthropometric,2013,waist-hip ratio,EFO:0004343,medium - not extreme
Fasting glucose,public,Dupuis J,Risk factor,MAGIC,757,1,NA,NA,NA,2470477,20081858,European,4,46186,0.730299647,mmol/L,Males and females,Glycemic,2013,,,
Fasting glucose,public,Manning AK,Risk factor,MAGIC,772,1,NA,NA,Interaction,2635762,22581228,European,2,58074,0.730299647,mmol/L,Males and females,Glycemic,2013,,,
Fasting glucose,public,Manning AK,Risk factor,MAGIC,773,1,NA,NA,NA,2628880,22581228,European,3,58074,0.730299647,mmol/L,Males and females,Glycemic,2013,fasting blood glucose measurement,EFO:0004465,high
Fasting glucose,public,Scott,Risk factor,MAGIC,777,1,NA,NA,NA,64494,22885924,European,1,133010,0.730299647,mmol/L,Males and females,Glycemic,2013,,,
Fasting insulin,public,Dupuis J,Risk factor,MAGIC,768,1,NA,NA,NA,2461106,20081858,European,5,38238,0.79,log pmol/L,Males and females,Glycemic,2013,,,
Fasting insulin,public,Manning AK,Risk factor,MAGIC,774,1,NA,NA,Interaction with body mass index,2634889,22581228,European,3,51750,0.79,log pmol/L,Males and females,Glycemic,2013,,,
Fasting insulin,public,Manning AK,Risk factor,MAGIC,775,1,NA,NA,NA,2627849,22581228,European,4,51750,0.79,log pmol/L,Males and females,Glycemic,2013,fasting blood insulin measurement,EFO:0004466,high
Fasting insulin,public,Scott,Risk factor,MAGIC,778,1,NA,NA,NA,64484,22885924,European,2,108557,0.79,log pmol/L,Males and females,Glycemic,2013,,,
Fasting insulin,public,Scott,Risk factor,MAGIC,779,1,NA,NA,NA,64436,22885924,European,1,108557,0.79,log pmol/L,Males and females,Glycemic,2010,,,
Fasting proinsulin,public,Dupuis J,Risk factor,MAGIC,769,1,NA,NA,NA,2496074,20081858,European,1,10701,0.81,log pmol/L,Males and females,Glycemic,2012,insulin measurement,EFO:0004467,low
Fatherƒ__s age at death,public,Pilling,Risk factor,UK Biobank,1092,1,NA,NA,Fatherƒ__s age at death; Results from interim Biobank release enriched for smokers; could lead to bias through collider issues in MR,9583643,27015805,European,1,75244,NA,SD,Males and females,Aging,2012,parental longevity,EFO:0007796,high
Femoral neck bone mineral density,public,Zheng,Risk factor,GEFOS,980,1,NA,NA,NA,10586900,26367794,Mixed,1,NA,NA,SD,Males and females,Bone,2012,femoral neck bone mineral density,EFO:0007785,high
Ferritin,public,Benyamin,Risk factor,GIS,1050,1,NA,NA,Effect allele frequencies are missing,2036124,25352340,European,1,23986,NA,SD,Males and females,Metal,2012,ferritin measurement,EFO:0004459,high
Forearm bone mineral density,public,Zheng,Risk factor,GEFOS,977,1,NA,NA,NA,9955366,26367794,Mixed,1,NA,NA,SD,Males and females,Bone,2012,bone density,EFO:0003923,medium - not forearm
Former vs current smoker,public,Furberg,Risk factor,TAG,963,1,23554,18415,NA,2456555,20418890,European,1,41969,NA,log odds,Males and females,Behavioural,2014,smoking cessation,EFO:0004319,high
Lymph:%CD4,public,Roederer,Immune system,NA,119,1,NA,NA,Female twins,1624017,25772697,European,1,497,9.637865434,%,Females,Immune cell subset frequency,2015,,,
NK:%Term,public,Roederer,Immune system,NA,120,1,NA,NA,Female twins,1627217,25772697,European,1,497,1.502749862,%,Females,Immune cell subset frequency,2015,,,
NK:%Eff,public,Roederer,Immune system,NA,121,1,NA,NA,Female twins,1626106,25772697,European,1,497,14.36011833,%,Females,Immune cell subset frequency,2015,,,
NKT:%4-8-,public,Roederer,Immune system,NA,122,1,NA,NA,Female twins,1625048,25772697,European,1,497,21.7368913,%,Females,Immune cell subset frequency,2015,,,
NKT:%4+R5-,public,Roederer,Immune system,NA,123,1,NA,NA,Female twins,1626158,25772697,European,1,497,15.12939227,%,Females,Immune cell subset frequency,2015,,,
T:%NKT,public,Roederer,Immune system,NA,124,1,NA,NA,Female twins,1628933,25772697,European,1,497,0.138798058,%,Females,Immune cell subset frequency,2015,,,
Lymph:%CD8,public,Roederer,Immune system,NA,125,1,NA,NA,Female twins,1625265,25772697,European,1,497,8.530511528,%,Females,Immune cell subset frequency,2015,,,
T:%Vd1,public,Roederer,Immune system,NA,126,1,NA,NA,Female twins,1626690,25772697,European,1,497,1.009119355,%,Females,Immune cell subset frequency,2015,,,
T:%Vg9+Vd2-low,public,Roederer,Immune system,NA,127,1,NA,NA,Female twins,1625291,25772697,European,1,497,14.79515027,%,Females,Immune cell subset frequency,2015,,,
B:%Mature,public,Roederer,Immune system,NA,128,1,NA,NA,Female twins,1626073,25772697,European,1,497,2.811098034,%,Females,Immune cell subset frequency,2015,,,
Mature B:%Memory,public,Roederer,Immune system,NA,129,1,NA,NA,Female twins,1624218,25772697,European,1,497,10.66153861,%,Females,Immune cell subset frequency,2015,,,
B Mem:%IgA,public,Roederer,Immune system,NA,130,1,NA,NA,Female twins,1623131,25772697,European,1,497,10.32730118,%,Females,Immune cell subset frequency,2015,,,
B Mem:%IgE,public,Roederer,Immune system,NA,131,1,NA,NA,Female twins,1623131,25772697,European,1,497,10.28805531,%,Females,Immune cell subset frequency,2015,,,
B Mem:%IgG,public,Roederer,Immune system,NA,132,1,NA,NA,Female twins,1623131,25772697,European,1,497,13.60346366,%,Females,Immune cell subset frequency,2015,,,
MDC:%CD1c-,public,Roederer,Immune system,NA,133,1,NA,NA,Female twins,1623131,25772697,European,1,497,12.31708105,%,Females,Immune cell subset frequency,2015,,,
Lymph:%DP T,public,Roederer,Immune system,NA,134,1,NA,NA,Female twins,1627964,25772697,European,1,497,0.658337013,%,Females,Immune cell subset frequency,2015,,,
MDC:%CD1c+,public,Roederer,Immune system,NA,135,1,NA,NA,Female twins,1623131,25772697,European,1,497,11.90306482,%,Females,Immune cell subset frequency,2015,,,
MDC:%X-Presenting,public,Roederer,Immune system,NA,136,1,NA,NA,Female twins,1624898,25772697,European,1,497,0.89125129,%,Females,Immune cell subset frequency,2015,,,
MDC (2):%CD1c-,public,Roederer,Immune system,NA,137,1,NA,NA,Female twins,1623131,25772697,European,1,497,15.83805024,%,Females,Immune cell subset frequency,2015,,,
MDC (2):%CD1c+,public,Roederer,Immune system,NA,138,1,NA,NA,Female twins,1623131,25772697,European,1,497,15.43101434,%,Females,Immune cell subset frequency,2015,,,
Lymph:%T,public,Roederer,Immune system,NA,139,1,NA,NA,Female twins,1623131,25772697,European,1,497,11.4632596,%,Females,Immune cell subset frequency,2015,,,
Lymph:%NK,public,Roederer,Immune system,NA,140,1,NA,NA,Female twins,1623131,25772697,European,1,497,15.89375344,%,Females,Immune cell subset frequency,2015,,,
CD123 on mDC,public,Roederer,Immune system,NA,141,1,NA,NA,Female twins,1628023,25772697,European,1,497,870.605052,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD123 on pDC,public,Roederer,Immune system,NA,142,1,NA,NA,Female twins,1623131,25772697,European,1,497,4684.074674,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD32 on pDC,public,Roederer,Immune system,NA,143,1,NA,NA,Female twins,1624619,25772697,European,1,497,2660.968722,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD27 on IgA+B,public,Roederer,Immune system,NA,144,1,NA,NA,Female twins,1623996,25772697,European,1,497,103.0429077,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD24 on IgA+ B,public,Roederer,Immune system,NA,145,1,NA,NA,Female twins,1626867,25772697,European,1,497,330.5107612,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD27 on IgG+B,public,Roederer,Immune system,NA,146,1,NA,NA,Female twins,1623996,25772697,European,1,497,124.1399045,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD161 on CD4mem,public,Roederer,Immune system,NA,147,1,NA,NA,Female twins,1620661,25772697,European,1,497,42.89300729,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
PD1 on CD4mem,public,Roederer,Immune system,NA,148,1,NA,NA,Female twins,1628359,25772697,European,1,497,221.8243543,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CXCR3 on CD4n,public,Roederer,Immune system,NA,149,1,NA,NA,Female twins,1621966,25772697,European,1,497,341.2804013,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD32 on mDC,public,Roederer,Immune system,NA,150,1,NA,NA,Female twins,1624001,25772697,European,1,497,1033.664437,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD34 on Stem,public,Roederer,Immune system,NA,151,1,NA,NA,Female twins,1623131,25772697,European,1,497,1951.345559,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD56 on NK eff,public,Roederer,Immune system,NA,152,1,NA,NA,Female twins,1624004,25772697,European,1,497,324.3377602,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD56 on 2+NK eff,public,Roederer,Immune system,NA,153,1,NA,NA,Female twins,1624004,25772697,European,1,497,322.8703782,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD337 on NK early,public,Roederer,Immune system,NA,154,1,NA,NA,Female twins,1623350,25772697,European,1,497,602.4446527,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD27 on CD4 T,public,Roederer,Immune system,NA,155,1,NA,NA,Female twins,1623131,25772697,European,1,497,194.8261435,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD39 on CD4 T,public,Roederer,Immune system,NA,156,1,NA,NA,Female twins,1623131,25772697,European,1,497,690.4415745,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
CD27 on CD8 T,public,Roederer,Immune system,NA,157,1,NA,NA,Female twins,1623131,25772697,European,1,497,184.7539656,arbitrary units,Females,Immune cell-surface protein expression levels,2015,,,
